id_participant,paragraph,model,preference
118555691995,P3,Model_A,1
118555691995,P3,Model_B,0
118555691995,P4,Model_A,1
118555691995,P4,Model_B,0
118555691995,P5,Model_A,1
118555691995,P5,Model_B,0
118555691995,P6,Model_A,0
118555691995,P6,Model_B,1
118555691995,P7,Model_A,1
118555691995,P7,Model_B,0
118555691995,P8,Model_A,1
118555691995,P8,Model_B,0
118555691995,P9,Model_A,0
118555691995,P9,Model_B,1
118555691995,P10,Model_A,1
118555691995,P10,Model_B,0
118555691995,P11,Model_A,1
118555691995,P11,Model_B,0
118555691995,P13,Model_A,1
118555691995,P13,Model_B,0
118555691995,P14,Model_A,1
118555691995,P14,Model_B,0
118555691995,P15,Model_A,1
118555691995,P15,Model_B,0
118555691995,P16,Model_A,1
118555691995,P16,Model_B,0
118555691995,P17,Model_A,0
118555691995,P17,Model_B,1
118555691995,P18,Model_A,0
118555691995,P18,Model_B,1
118555691995,P19,Model_A,0
118555691995,P19,Model_B,1
118555691995,P20,Model_A,0
118555691995,P20,Model_B,1
118555691995,P21,Model_A,0
118555691995,P21,Model_B,1
118555691995,P22,Model_A,1
118555691995,P22,Model_B,0
118555691995,P23,Model_A,1
118555691995,P23,Model_B,0
118555691995,P24,Model_A,1
118555691995,P24,Model_B,0
118555691995,P25,Model_A,0
118555691995,P25,Model_B,1
118555691995,P26,Model_A,0
118555691995,P26,Model_B,1
118555691995,P27,Model_A,1
118555691995,P27,Model_B,0
118555691995,P28,Model_A,1
118555691995,P28,Model_B,0
118555691995,P30,Model_A,1
118555691995,P30,Model_B,0
118554970569,P1,Model_A,1
118554970569,P1,Model_B,0
118554970569,P2,Model_A,0
118554970569,P2,Model_B,1
118554970569,P3,Model_A,1
118554970569,P3,Model_B,0
118554970569,P4,Model_A,1
118554970569,P4,Model_B,0
118554970569,P5,Model_A,1
118554970569,P5,Model_B,0
118554970569,P6,Model_A,1
118554970569,P6,Model_B,0
118554970569,P7,Model_A,1
118554970569,P7,Model_B,0
118554970569,P8,Model_A,0
118554970569,P8,Model_B,1
118554970569,P9,Model_A,0
118554970569,P9,Model_B,1
118554970569,P10,Model_A,1
118554970569,P10,Model_B,0
118554970569,P11,Model_A,0
118554970569,P11,Model_B,1
118554970569,P13,Model_A,0
118554970569,P13,Model_B,1
118554970569,P14,Model_A,1
118554970569,P14,Model_B,0
118554970569,P15,Model_A,1
118554970569,P15,Model_B,0
118554970569,P16,Model_A,1
118554970569,P16,Model_B,0
118554970569,P17,Model_A,0
118554970569,P17,Model_B,1
118554970569,P18,Model_A,0
118554970569,P18,Model_B,1
118554970569,P19,Model_A,0
118554970569,P19,Model_B,1
118554970569,P20,Model_A,1
118554970569,P20,Model_B,0
118554970569,P21,Model_A,0
118554970569,P21,Model_B,1
118554970569,P22,Model_A,1
118554970569,P22,Model_B,0
118554970569,P23,Model_A,0
118554970569,P23,Model_B,1
118554970569,P24,Model_A,1
118554970569,P24,Model_B,0
118554970569,P25,Model_A,0
118554970569,P25,Model_B,1
118554970569,P26,Model_A,0
118554970569,P26,Model_B,1
118554970569,P27,Model_A,1
118554970569,P27,Model_B,0
118554970569,P28,Model_A,0
118554970569,P28,Model_B,1
118554970569,P30,Model_A,1
118554970569,P30,Model_B,0
118554996557,P2,Model_A,1
118554996557,P2,Model_B,0
